Designator,Mid X,Mid Y,Rotation,Layer
C10,200.187701,-49.99843,339.0948426,bottom
C100,230.340031,-164.261051,159.09484255,bottom
C101,65.199796,-192.548854,339.0948426,bottom
C102,81.080726,-186.482879,339.0948426,bottom
C103,96.961655,-180.416904,339.0948426,bottom
C104,104.902121,-195.581841,339.0948426,bottom
C105,120.783051,-189.515867,339.0948426,bottom
C106,136.663981,-183.44989,339.0948426,bottom
C107,160.485377,-192.548854,339.0948426,bottom
C108,176.366307,-186.482879,339.0948426,bottom
C109,192.247236,-180.416903,339.0948426,bottom
C11,216.068631,-43.932454,339.0948426,bottom
C110,200.187702,-195.581842,339.0948426,bottom
C111,216.068632,-189.515867,339.0948426,bottom
C112,231.949562,-183.44989,339.0948426,bottom
C113,41.024606,-197.848992,249.09484255,bottom
C114,47.709334,-215.821844,159.09484255,bottom
C115,63.590264,-209.755868,159.09484255,bottom
C116,79.471195,-203.689892,159.09484255,bottom
C117,103.29259,-212.788856,159.09484255,bottom
C118,119.173521,-206.72288,159.09484255,bottom
C119,135.05445,-200.656905,159.09484255,bottom
C12,231.949561,-37.866479,339.0948426,bottom
C120,142.994915,-215.821842,159.09484255,bottom
C121,158.875845,-209.755868,159.09484255,bottom
C122,174.756776,-203.689892,159.09484255,bottom
C123,198.578171,-212.788856,159.09484255,bottom
C124,214.459102,-206.72288,159.09484255,bottom
C125,230.340031,-200.656905,159.09484255,bottom
C14,48.96507,-67.430518,249.09484255,bottom
C15,63.590263,-64.172456,159.09484255,bottom
C16,79.471192,-58.10648,159.09484255,bottom
C17,103.292588,-67.205444,159.09484255,bottom
C18,119.173519,-61.139468,159.09484255,bottom
C19,135.054449,-55.073492,159.09484255,bottom
C2,81.080724,-40.899467,159.09484255,bottom
C20,142.994914,-70.23843,159.09484255,bottom
C21,158.875844,-64.172456,159.09484255,bottom
C22,174.756773,-58.106479,159.09484255,bottom
C23,198.578169,-67.205444,159.09484255,bottom
C24,214.4591,-61.139468,159.09484255,bottom
C25,230.34003,-55.073492,159.09484255,bottom
C26,65.199795,-83.361295,339.0948426,bottom
